travel_score,shopping_score,dining_score,fuel_score,groceries_score,income,preferred_bank,target_card
6,32,35,26,0,200000,ICICI,Amazon Pay Credit Card
10,27,36,27,0,25000,SBI,BPCL Octane Credit Card
27,23,27,4,19,75000,SBI,SimplyCLICK Credit Card
15,15,23,22,25,200000,Standard Chartered,Super Value Titanium Credit Card
53,8,30,6,3,75000,SBI,Elite Credit Card
7,40,12,22,19,120000,Axis,Ace Credit Card
33,34,0,0,33,75000,Kotak,League Platinum Credit Card
15,22,29,4,30,120000,IDFC First,Regalia Gold
38,9,0,23,29,200000,IDFC First,First Classic Credit Card
10,22,42,17,9,200000,Yes Bank,YES First Business Credit Card
14,1,1,59,25,75000,SBI,BPCL Octane Credit Card
36,17,6,6,34,120000,ICICI,HPCL Super Saver Credit Card
21,3,16,30,30,35000,Kotak,PVR Platinum Credit Card
0,16,5,36,43,35000,ICICI,Amazon Pay Credit Card
18,23,16,20,24,25000,Yes Bank,Cashback Credit Card
9,27,19,22,23,25000,IDFC First,First Classic Credit Card
20,19,27,12,22,35000,Yes Bank,Ace Credit Card
22,24,15,25,15,200000,SBI,Elite Credit Card
21,19,23,20,16,50000,Yes Bank,YES First Business Credit Card
29,10,14,19,27,75000,ICICI,Coral Credit Card
10,47,19,5,18,50000,Yes Bank,BPCL Octane Credit Card
14,12,16,36,22,75000,RBL,BankBazaar Credit Card
24,25,20,11,20,120000,Citibank,Cashback Credit Card
1,35,26,33,6,25000,ICICI,HPCL Super Saver Credit Card
9,22,27,25,17,50000,Standard Chartered,Super Value Titanium Credit Card
9,9,31,27,24,50000,RBL,BankBazaar Credit Card
30,31,20,3,16,50000,SBI,SimplyCLICK Credit Card
16,4,32,13,35,200000,Yes Bank,YES First Business Credit Card
32,28,29,4,7,25000,Citibank,Flipkart Axis Bank Credit Card
17,50,7,12,14,35000,Axis,My Zone Credit Card
1,23,26,3,48,25000,Axis,My Zone Credit Card
24,2,4,37,33,50000,ICICI,HPCL Super Saver Credit Card
6,30,7,16,41,35000,ICICI,Coral Credit Card
24,5,24,41,6,200000,HDFC,Millennia Credit Card
28,20,27,11,14,50000,Citibank,Tata Neu Infinity Credit Card
4,45,8,39,3,120000,ICICI,Amazon Pay Credit Card
19,24,11,24,22,200000,Standard Chartered,Super Value Titanium Credit Card
1,9,38,46,5,50000,HDFC,Tata Neu Infinity Credit Card
0,45,35,16,3,35000,Citibank,Cashback Credit Card
27,17,21,21,14,200000,Yes Bank,YES First Business Credit Card
36,37,8,14,6,35000,RBL,BankBazaar Credit Card
23,33,3,17,23,75000,Citibank,Cashback Credit Card
1,8,32,5,54,120000,HDFC,Millennia Credit Card
37,35,4,8,16,25000,Citibank,Cashback Credit Card
4,11,40,25,20,25000,IDFC First,Flipkart Axis Bank Credit Card
19,30,25,21,4,75000,Axis,Millennia Credit Card
20,22,22,24,13,25000,Kotak,Amazon Pay Credit Card
37,17,11,23,11,120000,Yes Bank,YES First Business Credit Card
5,36,25,11,22,120000,Axis,Flipkart Axis Bank Credit Card
32,7,25,7,29,120000,SBI,SimplyCLICK Credit Card
26,25,15,3,32,50000,SBI,BPCL Octane Credit Card
28,17,16,7,31,35000,Standard Chartered,Super Value Titanium Credit Card
10,27,12,23,28,120000,Citibank,Cashback Credit Card
15,30,18,17,20,200000,Yes Bank,Flipkart Axis Bank Credit Card
25,19,19,21,17,200000,SBI,BPCL Octane Credit Card
25,17,25,12,21,200000,Axis,Vistara Infinite Credit Card
11,4,16,29,41,35000,RBL,BankBazaar Credit Card
32,13,11,16,28,120000,Axis,Flipkart Axis Bank Credit Card
17,15,37,29,2,120000,Standard Chartered,Super Value Titanium Credit Card
9,12,28,44,8,35000,SBI,SimplyCLICK Credit Card
27,29,20,9,15,120000,Standard Chartered,Super Value Titanium Credit Card
24,12,22,26,17,120000,Citibank,Cashback Credit Card
23,1,11,24,42,35000,IDFC First,First Classic Credit Card
19,22,7,27,26,35000,HDFC,Tata Neu Infinity Credit Card
38,26,11,4,22,200000,Yes Bank,YES First Business Credit Card
45,0,1,8,46,75000,Yes Bank,YES First Business Credit Card
8,34,43,4,11,200000,IDFC First,Vistara Infinite Credit Card
12,9,31,27,22,75000,IDFC First,Vistara Infinite Credit Card
19,30,18,31,1,120000,Standard Chartered,Super Value Titanium Credit Card
25,6,17,38,14,25000,HDFC,Flipkart Axis Bank Credit Card
17,18,3,27,35,25000,HDFC,SimplySAVE Credit Card
14,36,12,1,37,35000,Axis,Flipkart Axis Bank Credit Card
37,25,17,16,6,75000,Citibank,Cashback Credit Card
10,15,25,25,24,50000,ICICI,Amazon Pay Credit Card
30,15,4,31,20,200000,HDFC,Diners Club Black
20,19,18,20,22,75000,Citibank,Cashback Credit Card
25,27,4,27,16,75000,Standard Chartered,Super Value Titanium Credit Card
19,22,22,37,1,75000,RBL,BankBazaar Credit Card
43,43,0,3,11,200000,RBL,Amazon Pay Credit Card
22,36,1,37,3,35000,Kotak,PVR Platinum Credit Card
6,27,24,11,32,200000,Kotak,PVR Platinum Credit Card
1,38,12,22,27,200000,RBL,BankBazaar Credit Card
18,12,20,35,16,50000,SBI,SimplyCLICK Credit Card
32,19,24,16,9,200000,RBL,BankBazaar Credit Card
33,25,28,13,1,120000,ICICI,Amazon Pay Credit Card
21,11,25,24,19,35000,Yes Bank,SimplyCLICK Credit Card
16,11,24,26,24,25000,Axis,Flipkart Axis Bank Credit Card
20,4,30,10,36,25000,Standard Chartered,Super Value Titanium Credit Card
21,27,15,22,15,35000,Axis,Flipkart Axis Bank Credit Card
34,14,11,26,15,200000,Axis,Flipkart Axis Bank Credit Card
22,22,24,6,25,200000,Yes Bank,YES First Business Credit Card
23,17,14,15,31,200000,HDFC,Regalia Gold
16,11,29,21,23,50000,IDFC First,BankBazaar Credit Card
1,33,19,32,15,50000,Yes Bank,YES First Business Credit Card
22,23,13,6,35,25000,Yes Bank,SimplySAVE Credit Card
2,37,15,25,21,200000,Standard Chartered,PVR Platinum Credit Card
15,35,35,11,4,25000,Axis,Flipkart Axis Bank Credit Card
16,8,2,25,49,25000,Standard Chartered,Super Value Titanium Credit Card
16,6,28,21,30,120000,Citibank,Cashback Credit Card
23,20,13,27,17,25000,Standard Chartered,Super Value Titanium Credit Card
22,10,30,23,16,25000,Yes Bank,Coral Credit Card
23,14,7,24,33,25000,ICICI,Amazon Pay Credit Card
19,17,4,33,28,200000,Axis,Coral Credit Card
21,11,33,9,27,25000,Standard Chartered,Super Value Titanium Credit Card
35,4,20,0,40,200000,Citibank,Cashback Credit Card
21,26,19,12,22,50000,IDFC First,First Classic Credit Card
4,3,1,46,47,75000,SBI,BPCL Octane Credit Card
14,27,21,25,12,25000,IDFC First,First Classic Credit Card
7,21,18,39,16,120000,Citibank,Cashback Credit Card
10,25,27,28,10,35000,HDFC,Millennia Credit Card
36,20,28,7,9,120000,Kotak,White Credit Card
29,25,17,15,13,120000,IDFC First,First Wealth Credit Card
1,30,25,35,10,35000,HDFC,Tata Neu Infinity Credit Card
14,17,38,18,13,35000,HDFC,Tata Neu Infinity Credit Card
29,14,22,2,33,75000,Axis,Ace Credit Card
19,16,13,27,25,35000,IDFC First,First Classic Credit Card
22,22,25,10,21,50000,IDFC First,Vistara Infinite Credit Card
20,7,22,41,11,25000,Standard Chartered,Super Value Titanium Credit Card
35,15,12,36,1,25000,HDFC,SimplySAVE Credit Card
3,21,2,27,47,120000,HDFC,Millennia Credit Card
44,4,19,18,15,35000,Citibank,Cashback Credit Card
2,26,27,36,9,35000,HDFC,Millennia Credit Card
23,27,23,19,8,25000,Yes Bank,Flipkart Axis Bank Credit Card
38,18,10,28,6,25000,Citibank,Super Value Titanium Credit Card
12,24,28,31,4,50000,HDFC,Coral Credit Card
22,11,32,34,1,120000,Kotak,PVR Platinum Credit Card
21,9,26,10,34,50000,Citibank,Cashback Credit Card
11,30,14,24,22,200000,RBL,First Classic Credit Card
3,13,24,36,24,200000,Yes Bank,YES First Business Credit Card
35,24,13,28,0,50000,SBI,BPCL Octane Credit Card
6,22,8,57,7,50000,SBI,BPCL Octane Credit Card
16,18,11,23,33,120000,Yes Bank,YES First Business Credit Card
18,17,25,26,15,200000,Kotak,League Platinum Credit Card
24,36,17,9,14,50000,ICICI,Coral Credit Card
5,28,12,28,27,25000,Kotak,Amazon Pay Credit Card
9,13,33,28,17,200000,IDFC First,Vistara Infinite Credit Card
16,16,29,2,37,120000,IDFC First,First Wealth Credit Card
19,12,43,19,7,35000,HDFC,Tata Neu Infinity Credit Card
15,10,33,14,28,25000,Kotak,PVR Platinum Credit Card
26,30,14,15,14,50000,Standard Chartered,Super Value Titanium Credit Card
19,16,2,40,22,50000,Axis,Flipkart Axis Bank Credit Card
10,21,1,24,43,50000,Kotak,PVR Platinum Credit Card
23,20,23,9,25,25000,Standard Chartered,Super Value Titanium Credit Card
15,36,12,35,3,120000,HDFC,First Wealth Credit Card
8,14,33,19,27,75000,Axis,Flipkart Axis Bank Credit Card
10,25,29,5,31,200000,HDFC,Millennia Credit Card
11,49,4,18,18,25000,ICICI,HPCL Super Saver Credit Card
8,19,33,1,38,75000,IDFC First,Vistara Infinite Credit Card
7,14,19,24,36,75000,ICICI,Amazon Pay Credit Card
7,38,38,16,1,25000,Axis,My Zone Credit Card
12,24,21,14,30,120000,HDFC,Millennia Credit Card
34,7,5,22,32,75000,Standard Chartered,Super Value Titanium Credit Card
22,28,32,5,12,35000,ICICI,Amazon Pay Credit Card
30,12,18,29,11,120000,IDFC First,First Classic Credit Card
11,12,5,70,2,200000,IDFC First,First Wealth Credit Card
27,25,15,0,33,25000,Axis,SimplySAVE Credit Card
37,24,1,7,31,35000,Standard Chartered,Super Value Titanium Credit Card
20,24,21,8,27,200000,ICICI,Flipkart Axis Bank Credit Card
2,22,10,16,51,35000,ICICI,Amazon Pay Credit Card
13,39,19,28,1,120000,Kotak,PVR Platinum Credit Card
7,17,24,9,43,75000,ICICI,HPCL Super Saver Credit Card
29,29,4,5,33,50000,Citibank,Cashback Credit Card
10,7,17,31,36,50000,IDFC First,Vistara Infinite Credit Card
22,19,15,20,24,35000,ICICI,HPCL Super Saver Credit Card
16,38,6,34,7,120000,SBI,Elite Credit Card
29,29,12,27,2,120000,Yes Bank,YES First Business Credit Card
16,30,25,9,21,50000,Standard Chartered,Super Value Titanium Credit Card
29,18,5,22,26,35000,SBI,BPCL Octane Credit Card
26,29,6,16,22,25000,Standard Chartered,Super Value Titanium Credit Card
24,36,10,29,2,50000,Yes Bank,YES First Business Credit Card
7,23,31,11,28,200000,IDFC First,Vistara Infinite Credit Card
27,21,14,19,19,120000,Axis,Ace Credit Card
20,7,24,24,25,35000,Citibank,Cashback Credit Card
23,2,33,37,5,75000,Kotak,White Credit Card
12,11,31,13,33,35000,IDFC First,First Classic Credit Card
22,19,34,19,6,35000,Citibank,Cashback Credit Card
33,5,11,31,20,200000,SBI,PVR Platinum Credit Card
15,7,4,40,35,200000,Yes Bank,YES First Business Credit Card
23,13,25,11,28,35000,ICICI,Amazon Pay Credit Card
34,13,1,21,31,50000,Yes Bank,YES First Business Credit Card
19,37,3,25,16,200000,SBI,BankBazaar Credit Card
21,13,10,48,9,120000,Kotak,White Credit Card
6,28,15,27,23,200000,Standard Chartered,Super Value Titanium Credit Card
33,32,13,11,12,75000,Standard Chartered,Super Value Titanium Credit Card
29,16,5,16,34,120000,Yes Bank,YES First Business Credit Card
39,42,2,18,0,25000,Standard Chartered,My Zone Credit Card
16,6,28,28,22,200000,RBL,BankBazaar Credit Card
23,27,31,15,4,200000,IDFC First,First Wealth Credit Card
16,41,10,31,1,75000,Axis,Flipkart Axis Bank Credit Card
34,6,20,39,2,120000,Kotak,PVR Platinum Credit Card
23,19,17,20,22,25000,Yes Bank,SimplyCLICK Credit Card
21,22,14,33,10,35000,IDFC First,First Classic Credit Card
11,9,25,36,19,50000,HDFC,Millennia Credit Card
14,23,31,8,23,200000,ICICI,Amazon Pay Credit Card
6,0,15,22,58,200000,Kotak,Tata Neu Infinity Credit Card
13,24,22,19,22,75000,Kotak,League Platinum Credit Card
29,27,27,6,11,75000,HDFC,Regalia Gold
11,35,6,28,19,25000,Yes Bank,HPCL Super Saver Credit Card
4,19,19,24,34,25000,RBL,BankBazaar Credit Card
9,30,8,28,25,35000,Yes Bank,Cashback Credit Card
50,20,16,4,10,25000,Axis,Ace Credit Card
32,30,4,24,10,200000,Citibank,Cashback Credit Card
9,3,26,50,12,50000,Axis,Flipkart Axis Bank Credit Card
26,21,12,13,27,120000,Axis,Flipkart Axis Bank Credit Card
25,17,40,8,9,25000,RBL,BankBazaar Credit Card
2,50,19,5,23,75000,Yes Bank,YES First Business Credit Card
4,21,43,15,18,25000,Kotak,PVR Platinum Credit Card
4,14,33,36,13,35000,Axis,Flipkart Axis Bank Credit Card
4,29,35,21,11,75000,Citibank,Cashback Credit Card
1,35,12,25,27,50000,HDFC,Tata Neu Infinity Credit Card
30,0,10,25,35,75000,IDFC First,BankBazaar Credit Card
12,11,17,30,29,35000,ICICI,Amazon Pay Credit Card
31,10,15,13,32,25000,ICICI,Amazon Pay Credit Card
25,26,19,11,20,120000,Axis,My Zone Credit Card
39,10,34,6,11,25000,Standard Chartered,Super Value Titanium Credit Card
14,11,41,14,19,50000,IDFC First,Vistara Infinite Credit Card
24,13,15,32,17,35000,Yes Bank,SimplyCLICK Credit Card
29,33,15,13,9,25000,HDFC,Flipkart Axis Bank Credit Card
27,21,14,20,18,25000,Standard Chartered,Super Value Titanium Credit Card
10,6,40,34,10,50000,Standard Chartered,Super Value Titanium Credit Card
22,14,23,24,17,200000,HDFC,Tata Neu Infinity Credit Card
25,49,12,12,2,120000,ICICI,Amazon Pay Credit Card
12,27,12,29,21,50000,SBI,SimplyCLICK Credit Card
29,11,2,32,27,35000,HDFC,Tata Neu Infinity Credit Card
28,18,3,28,23,75000,Axis,My Zone Credit Card
19,5,11,38,27,35000,RBL,BankBazaar Credit Card
11,19,41,2,27,50000,SBI,SimplyCLICK Credit Card
2,21,21,28,29,75000,HDFC,Millennia Credit Card
5,25,38,19,14,50000,RBL,BankBazaar Credit Card
22,22,16,39,0,120000,Citibank,Cashback Credit Card
32,3,39,2,25,75000,HDFC,Regalia Gold
3,1,36,9,51,25000,Standard Chartered,Super Value Titanium Credit Card
13,23,19,20,26,200000,RBL,BankBazaar Credit Card
41,6,3,11,40,35000,HDFC,Tata Neu Infinity Credit Card
23,11,33,16,17,120000,IDFC First,First Wealth Credit Card
32,17,11,11,29,25000,Yes Bank,Cashback Credit Card
12,11,29,22,26,120000,ICICI,Amazon Pay Credit Card
48,19,8,4,19,120000,ICICI,Coral Credit Card
18,13,16,26,26,75000,IDFC First,First Wealth Credit Card
6,16,31,33,14,50000,RBL,BankBazaar Credit Card
23,6,36,11,24,35000,IDFC First,First Classic Credit Card
2,33,12,21,31,200000,RBL,BankBazaar Credit Card
52,5,26,7,10,200000,Standard Chartered,Super Value Titanium Credit Card
17,12,11,28,33,50000,SBI,Cashback Credit Card
2,29,25,25,20,35000,Kotak,PVR Platinum Credit Card
26,16,8,27,23,50000,Kotak,League Platinum Credit Card
14,21,19,26,19,120000,HDFC,Diners Club Black
20,19,20,15,25,50000,ICICI,Coral Credit Card
30,15,23,10,22,50000,Kotak,White Credit Card
19,34,16,11,20,200000,RBL,Amazon Pay Credit Card
15,26,30,24,5,25000,IDFC First,First Classic Credit Card
25,12,9,34,20,35000,SBI,SimplyCLICK Credit Card
32,4,12,29,23,25000,ICICI,PVR Platinum Credit Card
3,21,27,13,36,200000,RBL,BankBazaar Credit Card
21,8,21,12,37,25000,IDFC First,First Classic Credit Card
2,17,0,39,41,200000,SBI,SimplyCLICK Credit Card
11,17,42,27,3,50000,ICICI,Amazon Pay Credit Card
20,5,7,37,31,120000,Yes Bank,YES First Business Credit Card
31,10,31,15,14,75000,SBI,SimplyCLICK Credit Card
22,29,45,2,2,35000,RBL,SimplySAVE Credit Card
14,30,2,24,29,200000,Yes Bank,YES First Business Credit Card
37,0,17,28,19,35000,Yes Bank,Cashback Credit Card
6,23,30,9,32,75000,IDFC First,Vistara Infinite Credit Card
43,0,18,15,25,35000,Kotak,PVR Platinum Credit Card
15,23,25,29,7,120000,IDFC First,Vistara Infinite Credit Card
6,32,9,28,24,120000,HDFC,Diners Club Black
13,32,1,11,43,25000,Kotak,Ace Credit Card
8,1,46,43,2,200000,SBI,SimplyCLICK Credit Card
40,36,16,1,7,50000,Citibank,Cashback Credit Card
12,4,52,1,31,35000,RBL,BankBazaar Credit Card
14,42,18,5,21,75000,Axis,My Zone Credit Card
8,26,12,18,36,120000,IDFC First,First Classic Credit Card
16,1,29,19,35,25000,IDFC First,BankBazaar Credit Card
13,28,5,12,42,25000,ICICI,HPCL Super Saver Credit Card
35,13,23,24,5,75000,Citibank,Cashback Credit Card
23,17,38,14,8,75000,ICICI,Coral Credit Card
30,17,11,31,12,200000,IDFC First,First Wealth Credit Card
29,14,31,18,8,120000,Kotak,League Platinum Credit Card
2,39,14,20,25,120000,ICICI,BankBazaar Credit Card
14,5,30,41,10,75000,HDFC,Millennia Credit Card
29,4,27,8,32,25000,Kotak,PVR Platinum Credit Card
22,22,8,23,24,120000,Kotak,White Credit Card
11,36,29,15,9,35000,IDFC First,First Classic Credit Card
12,0,1,18,70,120000,Kotak,League Platinum Credit Card
32,27,30,4,7,25000,SBI,SimplyCLICK Credit Card
31,36,8,23,2,25000,Axis,Ace Credit Card
37,16,27,16,4,200000,SBI,BPCL Octane Credit Card
13,22,3,22,40,50000,SBI,SimplyCLICK Credit Card
26,29,7,18,20,120000,HDFC,Tata Neu Infinity Credit Card
39,15,0,20,25,75000,Kotak,PVR Platinum Credit Card
4,42,29,6,19,35000,RBL,First Classic Credit Card
22,28,10,6,34,75000,ICICI,Amazon Pay Credit Card
5,23,35,23,14,25000,HDFC,Cashback Credit Card
21,28,14,7,30,75000,Standard Chartered,Super Value Titanium Credit Card
1,37,53,2,7,200000,Axis,Flipkart Axis Bank Credit Card
25,4,30,30,10,120000,SBI,SimplyCLICK Credit Card
29,22,24,6,20,200000,Standard Chartered,Super Value Titanium Credit Card
20,29,7,22,21,75000,ICICI,Regalia Gold
6,19,12,31,32,75000,Citibank,Cashback Credit Card
18,25,16,27,13,35000,ICICI,Amazon Pay Credit Card
18,21,5,47,10,200000,ICICI,HPCL Super Saver Credit Card
25,30,5,8,32,25000,ICICI,Coral Credit Card
39,18,19,15,9,35000,SBI,My Zone Credit Card
27,7,15,22,29,35000,Yes Bank,Amazon Pay Credit Card
22,24,19,11,23,120000,Standard Chartered,League Platinum Credit Card
20,15,29,25,12,50000,Citibank,Cashback Credit Card
22,26,2,22,28,200000,HDFC,Tata Neu Infinity Credit Card
40,1,27,23,9,25000,RBL,BankBazaar Credit Card
26,6,5,22,42,200000,IDFC First,First Wealth Credit Card
31,39,19,4,7,120000,Yes Bank,YES First Business Credit Card
13,10,26,23,28,120000,Axis,Flipkart Axis Bank Credit Card
31,12,27,0,29,75000,Yes Bank,YES First Business Credit Card
20,21,11,23,25,35000,Yes Bank,Millennia Credit Card
38,16,0,19,27,35000,IDFC First,First Classic Credit Card
28,8,29,6,29,35000,Axis,Flipkart Axis Bank Credit Card
6,6,34,38,17,50000,ICICI,HPCL Super Saver Credit Card
18,29,22,15,16,50000,RBL,BankBazaar Credit Card
0,31,19,21,29,120000,ICICI,Amazon Pay Credit Card
11,10,4,25,49,200000,RBL,BankBazaar Credit Card
18,42,33,6,0,120000,ICICI,Amazon Pay Credit Card
32,33,10,24,2,35000,Yes Bank,Millennia Credit Card
25,12,10,27,26,75000,HDFC,Millennia Credit Card
22,18,19,40,1,75000,Kotak,League Platinum Credit Card
19,17,15,9,39,75000,IDFC First,Vistara Infinite Credit Card
17,37,7,33,7,35000,Axis,Flipkart Axis Bank Credit Card
36,10,17,0,37,25000,ICICI,HPCL Super Saver Credit Card
19,14,28,18,21,50000,ICICI,Coral Credit Card
22,31,28,14,5,35000,Citibank,Cashback Credit Card
15,26,21,28,10,120000,Kotak,League Platinum Credit Card
39,28,25,2,5,35000,Kotak,PVR Platinum Credit Card
9,24,0,30,37,75000,Yes Bank,YES First Business Credit Card
6,8,27,29,30,35000,Standard Chartered,Super Value Titanium Credit Card
28,7,4,27,34,25000,RBL,Flipkart Axis Bank Credit Card
18,8,29,16,28,200000,ICICI,Amazon Pay Credit Card
50,8,3,8,32,120000,IDFC First,Vistara Infinite Credit Card
24,34,40,2,0,200000,Kotak,PVR Platinum Credit Card
11,36,8,38,7,35000,Yes Bank,SimplyCLICK Credit Card
5,48,8,20,20,50000,Axis,Flipkart Axis Bank Credit Card
8,30,11,29,21,25000,RBL,BankBazaar Credit Card
17,27,14,12,31,75000,Yes Bank,HPCL Super Saver Credit Card
35,1,16,18,29,35000,Axis,Flipkart Axis Bank Credit Card
31,30,3,15,21,25000,IDFC First,First Classic Credit Card
8,13,24,26,28,50000,Citibank,Cashback Credit Card
27,21,2,24,27,75000,Kotak,League Platinum Credit Card
7,30,24,27,12,200000,Axis,Flipkart Axis Bank Credit Card
10,29,27,10,24,200000,RBL,BankBazaar Credit Card
1,14,33,44,8,75000,Axis,Flipkart Axis Bank Credit Card
14,33,11,5,37,25000,Citibank,BPCL Octane Credit Card
16,1,26,17,40,120000,IDFC First,First Wealth Credit Card
20,20,20,29,12,25000,ICICI,HPCL Super Saver Credit Card
28,25,30,6,11,75000,Axis,League Platinum Credit Card
15,26,47,9,3,25000,Axis,My Zone Credit Card
26,9,38,6,20,200000,Axis,Magnus Credit Card
24,24,14,25,13,35000,SBI,BPCL Octane Credit Card
14,14,35,34,2,35000,Citibank,Cashback Credit Card
23,12,8,29,28,75000,RBL,BankBazaar Credit Card
10,10,10,12,57,35000,Kotak,PVR Platinum Credit Card
30,25,5,12,28,120000,SBI,First Wealth Credit Card
19,34,12,5,29,35000,ICICI,Amazon Pay Credit Card
24,10,11,28,26,25000,SBI,Amazon Pay Credit Card
9,14,28,30,20,75000,Axis,My Zone Credit Card
14,17,21,24,25,200000,SBI,BPCL Octane Credit Card
19,5,28,17,29,35000,ICICI,Amazon Pay Credit Card
0,3,36,32,29,25000,Kotak,Cashback Credit Card
47,35,1,1,16,25000,SBI,SimplyCLICK Credit Card
26,14,22,19,20,75000,Axis,Ace Credit Card
6,27,23,24,19,25000,Citibank,My Zone Credit Card
17,15,2,37,28,50000,Axis,YES First Business Credit Card
6,12,19,34,29,50000,Standard Chartered,Super Value Titanium Credit Card
25,22,19,9,25,35000,RBL,BankBazaar Credit Card
33,23,24,4,16,35000,IDFC First,First Classic Credit Card
21,33,21,3,22,25000,IDFC First,First Classic Credit Card
8,20,26,15,30,25000,Axis,Ace Credit Card
24,24,7,22,23,200000,HDFC,Diners Club Black
21,24,22,22,11,200000,Yes Bank,YES First Business Credit Card
7,31,13,22,28,35000,HDFC,Tata Neu Infinity Credit Card
27,3,25,14,30,25000,Axis,Flipkart Axis Bank Credit Card
1,16,33,31,20,25000,IDFC First,Flipkart Axis Bank Credit Card
22,4,14,22,38,200000,RBL,BankBazaar Credit Card
9,23,45,19,5,25000,IDFC First,First Classic Credit Card
17,38,18,24,4,50000,ICICI,Coral Credit Card
22,26,14,16,22,35000,Yes Bank,Millennia Credit Card
15,2,30,18,35,50000,Standard Chartered,Super Value Titanium Credit Card
22,16,29,27,5,200000,Standard Chartered,Super Value Titanium Credit Card
15,23,19,19,24,200000,Kotak,League Platinum Credit Card
15,1,29,28,28,35000,RBL,BankBazaar Credit Card
32,20,31,7,10,35000,Yes Bank,SimplySAVE Credit Card
18,26,27,16,13,75000,RBL,BankBazaar Credit Card
34,8,13,17,27,25000,Citibank,Flipkart Axis Bank Credit Card
9,22,14,25,30,35000,HDFC,Tata Neu Infinity Credit Card
26,17,29,9,19,75000,IDFC First,Vistara Infinite Credit Card
6,29,27,17,21,25000,Standard Chartered,Super Value Titanium Credit Card
27,11,35,1,26,50000,HDFC,SimplyCLICK Credit Card
32,8,37,19,4,75000,Standard Chartered,Super Value Titanium Credit Card
15,18,5,38,24,120000,Axis,Ace Credit Card
19,26,15,25,15,35000,Kotak,My Zone Credit Card
28,36,9,9,18,120000,Yes Bank,YES First Business Credit Card
37,15,12,1,36,120000,HDFC,Millennia Credit Card
2,46,7,45,0,120000,Standard Chartered,Super Value Titanium Credit Card
6,11,41,27,15,75000,SBI,Elite Credit Card
19,23,30,9,19,120000,Standard Chartered,Super Value Titanium Credit Card
6,19,24,26,25,75000,RBL,BankBazaar Credit Card
9,1,58,24,9,50000,RBL,Flipkart Axis Bank Credit Card
20,42,18,18,2,50000,SBI,BPCL Octane Credit Card
37,18,5,16,23,120000,ICICI,Amazon Pay Credit Card
47,3,11,18,21,200000,Kotak,White Credit Card
16,22,21,14,27,50000,Citibank,Cashback Credit Card
3,28,32,34,3,35000,Yes Bank,Millennia Credit Card
21,35,7,9,28,120000,Citibank,Cashback Credit Card
25,18,25,12,21,50000,Yes Bank,YES First Business Credit Card
36,6,15,4,39,25000,Citibank,Cashback Credit Card
37,17,42,4,0,35000,RBL,BankBazaar Credit Card
17,28,27,23,5,25000,Axis,SimplyCLICK Credit Card
18,27,20,23,13,50000,SBI,SimplySAVE Credit Card
19,16,19,31,15,35000,RBL,BankBazaar Credit Card
10,59,27,3,1,50000,Kotak,League Platinum Credit Card
4,31,25,35,5,200000,Axis,Flipkart Axis Bank Credit Card
14,31,5,14,36,25000,Kotak,Flipkart Axis Bank Credit Card
4,22,27,28,20,75000,Yes Bank,YES First Business Credit Card
16,1,4,42,37,200000,SBI,SimplyCLICK Credit Card
19,25,17,11,28,120000,SBI,BPCL Octane Credit Card
4,26,32,6,32,50000,HDFC,Millennia Credit Card
10,30,14,40,6,75000,Kotak,League Platinum Credit Card
10,5,7,35,43,25000,HDFC,Ace Credit Card
19,1,16,31,32,35000,Axis,Flipkart Axis Bank Credit Card
42,7,13,34,5,120000,RBL,BankBazaar Credit Card
6,28,22,20,24,50000,Citibank,Cashback Credit Card
19,6,10,27,37,50000,Axis,Super Value Titanium Credit Card
13,26,15,26,20,120000,Yes Bank,YES First Business Credit Card
43,17,5,34,0,25000,Citibank,Cashback Credit Card
24,10,17,26,22,35000,Kotak,PVR Platinum Credit Card
25,23,2,31,18,50000,IDFC First,First Classic Credit Card
42,8,41,1,9,120000,Standard Chartered,Super Value Titanium Credit Card
26,10,2,14,48,120000,Yes Bank,YES First Business Credit Card
31,25,18,25,1,25000,Citibank,Cashback Credit Card
33,21,2,16,27,25000,IDFC First,First Classic Credit Card
16,1,15,26,42,200000,Citibank,Cashback Credit Card
20,34,21,1,23,200000,Standard Chartered,Super Value Titanium Credit Card
17,20,17,23,24,25000,Yes Bank,HPCL Super Saver Credit Card
33,30,25,2,10,75000,SBI,SimplyCLICK Credit Card
16,28,12,4,40,50000,ICICI,YES First Business Credit Card
27,3,40,20,10,35000,Standard Chartered,Super Value Titanium Credit Card
22,17,28,30,4,50000,HDFC,Millennia Credit Card
38,1,16,24,20,200000,Standard Chartered,Super Value Titanium Credit Card
26,21,13,27,14,50000,RBL,BankBazaar Credit Card
8,19,29,37,7,50000,Axis,Ace Credit Card
21,30,12,28,8,200000,Yes Bank,YES First Business Credit Card
0,18,17,54,11,50000,IDFC First,Vistara Infinite Credit Card
16,32,26,7,19,200000,Citibank,Cashback Credit Card
32,42,7,14,6,75000,HDFC,Millennia Credit Card
12,24,29,24,11,75000,Citibank,Cashback Credit Card
28,16,23,32,1,75000,RBL,BankBazaar Credit Card
22,9,28,9,31,75000,Standard Chartered,Super Value Titanium Credit Card
38,30,8,2,22,75000,Standard Chartered,Super Value Titanium Credit Card
12,31,11,33,13,50000,RBL,BankBazaar Credit Card
61,25,4,4,5,200000,Kotak,League Platinum Credit Card
